,자치구,인구수,외국인인구수,고령자인구수,외국인비율,고령자비율,cctv대수,최근증가율
0,종로구,155106,9077,27605,5.8521269325493535,17.79750622155171,1772,20.49
1,중구,132259,9243,23980,6.9885603248172155,18.13109126789103,2333,78.98
2,용산구,240665,14287,38884,5.9364677040699725,16.156898593480566,2383,78.64
3,성동구,295767,6605,45591,2.233176791190363,15.414498574891722,3602,46.13
4,광진구,355306,12825,50815,3.6095647132331004,14.301756795550876,2588,112.29
5,동대문구,352259,14219,61262,4.0365185843370925,17.391180920856527,2497,34.85
6,중랑구,394679,4707,70172,1.1926147578158453,17.779511957818887,3296,191.07
7,성북구,443206,9548,73568,2.1543029652125645,16.599053261914325,3958,94.53
8,강북구,306093,3448,63383,1.1264550316407105,20.707105356868663,2462,446.95
9,도봉구,322419,2054,62894,0.6370592303803436,19.506914915063938,1629,82.82
10,노원구,520005,4008,86697,0.7707618195978885,16.67233968904145,2415,66.38
11,은평구,479409,4038,85921,0.842287065949951,17.922275134592798,3791,117.86
12,서대문구,317699,10629,53627,3.3456195959068173,16.87981391191033,2940,49.8
13,마포구,379984,9852,53891,2.59274074697882,14.182439260600447,2421,89.95
14,양천구,454288,3296,66942,0.7255309407248265,14.735586236044096,3312,28.72
15,강서구,582995,5476,90404,0.9392876439763634,15.506822528495098,2560,78.53
16,구로구,424582,25316,71186,5.962570245559162,16.766137047731654,4075,48.83
17,금천구,244685,14517,40181,5.932934180681284,16.42152154811288,2374,149.47
18,영등포구,402375,24954,61571,6.201677539608575,15.301894998446722,3778,105.39
19,동작구,397231,9384,65732,2.3623533913516317,16.547550417766992,2297,83.61
20,관악구,502698,13898,78647,2.7646817771306034,15.644979689594946,4942,49.91
21,서초구,422174,3767,60395,0.8922861189935902,14.305712810357814,3704,48.34
22,강남구,536107,4732,76184,0.8826596183224616,14.210596019078281,6502,61.64
23,송파구,664341,5671,95164,0.8536278808623885,14.324571266864455,2854,203.19
24,강동구,469094,3885,72275,0.8281922173381029,15.407359718947589,2547,112.25
